DragonID,Assay_Num,Assay_Date,age_days,Reproduced,Sex,Gen_Sex,Status,Col_Period,Col_Date,Estrogen_plate,Estrogen_Dilution,Estrogen_CV,Estrogen_Avg_Hormone,Estrogen_Final,Testosterone_plate,Testosterone_Dilution,Testosterone_CV,Testosterone_Avg_Hormone,Testosterone
3609,48,25/10/2023,2440,N,F,ZWF,N_ZWF,Mid,23/12/2020,E03,23.3333333,1.4,23.3,543.6666659,NA,NA,NA,NA,NA
3679,144,20/11/2023,2486,N,F,ZWF,N_ZWF,Mid,23/12/2020,E07,23.3333333,0.9,15.4,359.3333328,NA,NA,NA,NA,NA
9544,10,17/10/2023,NA,N,F,ZZF,N_ZZF,Mid,23/12/2020,E01,23.3333333,0.3,14.5,338.3333329,NA,NA,NA,NA,NA
82109,79,9/11/2023,NA,N,F,ZWF,N_ZWF,Earl,2/10/2020,E04,23.3333333,3.1,15.8,368.6666661,NA,NA,NA,NA,NA
82109,129,19/11/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E06,23.3333333,4.7,15.5,361.6666662,T06,16.66666667,NA,NA,NA
82111,66,25/10/2023,634,N,F,ZZF,N_ZZF,Earl,30/9/2020,E03,23.3333333,3.7,17.8,415.3333327,NA,NA,NA,NA,NA
82135,89,9/11/2023,632,N,F,ZWF,N_ZWF,Mid,23/12/2020,E04,23.3333333,4,11.3,263.6666663,NA,NA,NA,NA,NA
82145,88,9/11/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E04,23.3333333,2.4,10.2,237.9999997,NA,NA,NA,NA,NA
3415,126,19/11/2023,2541,Y,F,ZZF,Y_ZZF,Mid,23/12/2020,E06,23.3333333,6.5,6.9,160.9999998,T07,8.333333333,NA,NA,NA
9564,114,14/11/2023,1707,Y,F,ZWF,Y_ZWF,Late,19/4/2021,E05,23.3333333,0.7,5.3,123.6666665,T07,8.333333333,NA,NA,NA
9564,145,20/11/2023,1707,Y,F,ZWF,Y_ZWF,Mid,23/12/2020,E07,23.3333333,3,10.8,251.9999996,T07,16.66666667,NA,NA,NA
9152,111,14/11/2023,969,Y,F,ZZF,Y_ZZF,Late,19/4/2021,E05,23.3333333,5.8,8.1,188.9999997,T08,8.333333333,NA,NA,NA
81833,2,17/10/2023,NA,N,F,ZZF,N_ZZF,Earl,30/9/2020,E01,23.3333333,12,6.8,158.6666664,T01,25,NA,NA,NA
9568,116,19/11/2023,1382,Y,F,ZZF,Y_ZZF,Late,19/4/2021,E06,23.3333333,2.8,8.8,205.333333,T07,8.333333333,NA,NA,NA
9520,13,17/10/2023,982,Y,F,ZWF,Y_ZWF,Mid,23/12/2020,E01,23.3333333,4.8,11.3,263.6666663,T01,25,NA,NA,NA
81804,51,25/10/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E03,23.3333333,1.2,12,279.9999996,T03,16.66666667,NA,NA,NA
9511,45,18/10/2023,1707,N,F,ZWF,N_ZWF,Late,6/7/2021,E02,23.3333333,0.4,12.3,286.9999996,T02,16.66666667,45.6,3.3,55
9142,120,19/11/2023,993,N,F,ZWF,N_ZWF,Late,6/7/2021,E06,23.3333333,0.4,8,186.6666664,T07,8.333333333,42,3.9,32.5
9556,103,14/11/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E05,23.3333333,3,10.6,247.333333,T05,16.66666667,37.1,0.5,8.333333333
8018,36,18/10/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E02,23.3333333,3.4,21.8,508.6666659,T02,16.66666667,36.7,4.2,70
82443,47,25/10/2023,627,Y,F,ZZF,Y_ZZF,Mid,23/12/2020,E03,23.3333333,1.5,18.7,436.3333327,T03,16.66666667,36.2,41.1,685
82102,143,20/11/2023,744,N,F,ZZF,N_ZZF,Mid,23/12/2020,E07,23.3333333,0.076914,16.7,389.6666661,T07,16.66666667,31.6,12.4,206.6666667
82427,38,18/10/2023,NA,N,F,ZWF,N_ZWF,Mid,23/12/2020,E02,23.3333333,2.4,12.9,300.9999996,T02,16.66666667,30.5,13.1,218.3333333
9189,9,17/10/2023,NA,N,F,ZZF,N_ZZF,Mid,23/12/2020,E01,23.3333333,1,12.2,284.6666663,T08,8.333333333,29.3,3.2,26.66666667
9520,122,19/11/2023,982,Y,F,ZWF,Y_ZWF,Late,6/7/2021,E06,23.3333333,12.4,7.8,181.9999997,T07,8.333333333,26.8,6,50
81827,49,25/10/2023,NA,N,F,ZZF,N_ZZF,Mid,23/12/2020,E03,23.3333333,0.4,9.5,221.6666664,T03,16.66666667,24.8,14.3,238.3333333
9189,59,25/10/2023,NA,N,F,ZZF,N_ZZF,Late,6/7/2021,E03,23.3333333,2.1,9.5,221.6666664,T03,16.66666667,21.4,4.8,80
82410,65,25/10/2023,651,N,F,ZZF,N_ZZF,Earl,30/9/2020,E03,23.3333333,6.4,9.1,212.333333,T08,8.333333333,19.2,13.1,109.1666667
3592,147,20/11/2023,2861,Y,F,ZZF,Y_ZZF,Late,19/4/2021,E07,23.3333333,5.9,13.9,324.3333329,T07,16.66666667,19.2,31.5,525
3679,148,20/11/2023,2486,N,F,ZWF,N_ZWF,Earl,29/9/2020,E07,23.3333333,3.6,14,326.6666662,T07,16.66666667,19.1,23.6,393.3333333
82109,74,9/11/2023,NA,N,F,ZWF,N_ZWF,Late,6/7/2021,E04,23.3333333,4.8,9.8,228.6666663,T08,8.333333333,18.9,26.2,218.3333333
3415,107,14/11/2023,2541,Y,F,ZZF,Y_ZZF,Late,19/4/2021,E05,23.3333333,0.9,9.5,221.6666664,T05,16.66666667,18.8,5.3,88.33333333
82443,62,25/10/2023,627,Y,F,ZZF,Y_ZZF,Earl,30/9/2020,E03,23.3333333,4.2,13,303.3333329,T03,16.66666667,18.4,12.5,208.3333333
9555,134,19/11/2023,NA,Y,F,ZWF,Y_ZWF,Earl,2/10/2020,E06,23.3333333,4.6,7.9,184.3333331,T07,8.333333333,18.2,11.2,93.33333333
82145,69,9/11/2023,NA,N,F,ZWF,N_ZWF,Late,6/7/2021,E04,23.3333333,0.8,9.3,216.9999997,T04,16.66666667,16.9,32.2,536.6666667
82427,93,14/11/2023,NA,N,F,ZWF,N_ZWF,Earl,2/10/2020,E05,23.3333333,0.6,14.7,342.9999995,T08,8.333333333,16.8,39.1,325.8333333
9146,26,18/10/2023,NA,N,F,ZWF,N_ZWF,Late,6/7/2021,E02,23.3333333,1.7,14.5,338.3333329,T02,16.66666667,16.7,9.3,155
9182,105,14/11/2023,967,M,M,ZZM,M,Mid,23/12/2020,E05,23.3333333,1.4,4.9,114.3333332,T05,25,16.5,105.8,2645
8018,110,14/11/2023,NA,N,F,ZWF,N_ZWF,Late,19/4/2021,E05,23.3333333,0.8,12,279.9999996,T05,16.66666667,15.5,0.8,13.33333333
9550,119,19/11/2023,1013,Y,F,ZZF,Y_ZZF,Late,6/7/2021,E06,23.3333333,0,9.4,219.333333,T07,8.333333333,15.4,3,25
82410,19,17/10/2023,651,N,F,ZZF,N_ZZF,Late,6/7/2021,E01,23.3333333,2,9.3,216.9999997,T01,25,15.2,6.2,155
3505,152,20/11/2023,2825,Y,F,ZZF,Y_ZZF,Earl,29/9/2020,E07,23.3333333,2.8,7.5,174.9999998,T07,16.66666667,15.1,7.1,118.3333333
